Team Name,Overall Place,Skadi's Chase Points,First Chance Points,City of Lakes Loppet Points,Total Points
YAM Bam Thank You Ma'am,1,410.4,184.0,336.39,930.79
Team Birkie Marathon,2,334.52,0.0,201.67,536.19
Flying Fungi of Yuggoth,3,282.48,66.67,150.27,499.42
Vakava Racing,4,298.98,0.0,182.86,481.84
Jumbo Skisma,5,320.65,0.0,0.0,320.65
TCSC: Mysterious Mint,6,118.55,0.0,150.01,268.56
TCSC: Spectral Snow,7,24.19,0.0,143.37,167.57
Hoigaard's I,8,77.32,28.5,60.81,166.63
TCSC: Numinous Navy,9,82.5,0.0,67.87,150.37
Hoigaard's II,10,40.15,45.5,0.0,85.65
