Team Name,Overall Place,Skadi's Chase Points,Hiihto Points,First Chance Points,LL Challenge Points,Mount Ashwabay Points,City of Lakes Loppet Points,Vasaloppet Points,Pepsi Challenge Points,Ski North Ultra Points,Total Points
Vakava Pink,1,473.33,343.06,277.33,476.99,282.08,445.9,459.7,255.43,186.93,3200.76
TCSC Icy Insurgents,2,334.17,481.34,264.0,253.23,439.17,543.39,248.37,188.75,36.36,2788.77
YAM BAM Thank you Ma'am!,3,400.83,243.78,419.18,129.27,156.25,488.16,243.01,498.04,152.11,2730.62
Flying Fungi of Yuggoth,4,339.63,250.62,179.49,184.77,134.5,131.3,204.4,94.0,112.93,1631.64
Finnish Postal Service,5,235.21,147.37,87.18,76.85,406.25,0.0,155.39,188.04,309.14,1605.42
Vakava Blue,6,74.79,243.35,219.38,113.84,93.75,207.96,274.66,78.29,0.0,1306.02
Team Birkie,7,304.58,0.0,0.0,0.0,0.0,246.48,40.0,40.0,0.0,631.06
Hoigaard's Classic,8,0.0,0.0,119.54,57.52,20.0,158.66,80.0,135.96,0.0,571.68
TCSC: Frosty Fliers,9,0.0,55.26,71.79,77.41,0.0,207.69,103.84,20.0,0.0,536.0
Hoigaard's Skate,10,59.79,40.0,56.03,50.11,20.0,0.0,20.0,0.0,0.0,245.93
Heikki Lunta,11,0.0,0.0,0.0,0.0,40.0,0.0,0.0,40.0,0.0,80.0
