Overall Place,Name,Number of Events,Series Points,Battle Creek Fifty K Points,Seeley Hills Classic Points,Riverview Loppet Points,Noquemanon Points,Mt. Ashwabay Summit Ski Race Points,City of Lakes Loppet Points,Vasaloppet USA Points,Finlandia Points,Pepsi Challenge Points,Ski the North Points
1,Ryan Rogers,7,622.15,99.0,0.0,100.0,0.0,97.67,96.2,95.69,0.0,98.53,95.74
2,Josh Albrecht,6,597.81,85.0,99.34,0.0,94.68,95.35,0.0,91.38,0.0,97.06,0.0
3,Craig Cardinal,7,592.82,96.0,0.0,93.22,0.0,86.05,0.0,88.79,97.14,91.18,91.49
4,Ian Wright,8,567.96,89.0,0.0,71.19,78.72,76.74,87.43,87.93,94.29,95.59,0.0
5,Ron Omann,7,565.29,73.0,97.76,77.88,86.79,0.0,88.33,87.76,0.0,91.76,0.0
6,Mitchell Campbell,6,548.39,0.0,0.0,96.61,20.0,100.0,96.78,0.0,100.0,100.0,0.0
7,Joe Thuente,6,534.84,98.0,0.0,20.0,96.81,0.0,99.12,96.55,0.0,0.0,89.36
8,Brock Lundberg,6,476.6,69.0,0.0,45.68,74.02,0.0,73.71,91.21,0.0,0.0,87.98
9,Karl Holub,5,454.94,0.0,98.03,76.27,0.0,90.7,0.0,87.07,0.0,0.0,97.87
10,Andrew Tilman,6,452.39,95.0,20.0,94.92,0.0,0.0,90.06,97.41,0.0,20.0,0.0
11,Eli Rassler,6,444.04,0.0,20.0,20.0,90.43,88.37,0.0,93.1,97.14,0.0,0.0
12,Louis Sirota,6,419.03,82.0,20.0,0.0,0.0,0.0,85.09,20.0,0.0,89.71,87.23
13,Erik Pieh,6,413.15,0.0,0.0,49.15,0.0,62.79,0.0,65.52,74.29,64.71,61.7
14,Chris Frenier,4,345.51,0.0,0.0,0.0,84.04,0.0,78.65,0.0,94.29,73.53,0.0
15,Kevin Johnson,5,332.78,68.0,95.74,58.63,0.0,75.42,0.0,0.0,0.0,0.0,20.0
16,Brett Arenz,5,329.61,57.0,0.0,0.0,0.0,0.0,75.56,88.62,72.43,0.0,21.0
17,Josh Doebbert,4,326.38,70.0,88.82,0.0,0.0,0.0,81.87,70.69,0.0,0.0,0.0
18,Ben Mullin,5,324.45,29.0,92.45,0.0,65.83,0.0,0.0,72.24,0.0,0.0,49.94
19,Dave Niday,6,316.53,69.0,20.0,64.41,0.0,0.0,20.0,69.83,0.0,0.0,38.3
20,Sam Shaheen,4,310.38,0.0,0.0,0.0,87.23,0.0,95.91,92.24,0.0,20.0,0.0
21,Xavier Mansfield,3,310.25,97.0,0.0,0.0,100.0,0.0,98.25,0.0,0.0,0.0,0.0
22,Craig Stolen,4,307.25,0.0,0.0,0.0,0.0,66.81,0.0,83.97,96.43,0.0,45.04
23,Nate Rhode,5,306.16,42.0,0.0,22.03,0.0,81.4,0.0,81.9,0.0,0.0,63.83
24,Andrew Schakel,4,300.85,85.0,0.0,0.0,0.0,0.0,81.73,20.0,0.0,99.12,0.0
25,Nicholas Youso,4,297.05,0.0,20.0,0.0,0.0,0.0,0.0,93.97,100.0,0.0,68.09
26,Michael Garlinghouse,4,291.15,62.0,0.0,59.32,0.0,0.0,79.82,0.0,0.0,75.0,0.0
27,Joe Harrington,3,287.24,93.0,0.0,91.53,0.0,0.0,87.72,0.0,0.0,0.0,0.0
28,Thomas Krenz,4,286.01,0.0,100.0,71.54,0.0,79.47,0.0,0.0,0.0,20.0,0.0
29,Logan Smestad,4,277.76,0.0,20.0,0.0,65.96,0.0,0.0,0.0,88.57,88.24,0.0
30,Chad Korby,3,276.79,0.0,96.71,81.36,0.0,83.72,0.0,0.0,0.0,0.0,0.0
31,Zachariah Pannkuk,4,276.12,37.0,89.47,0.0,0.0,0.0,59.65,75.0,0.0,0.0,0.0
32,Sam Holt,5,274.14,0.0,20.0,0.0,0.0,0.0,20.0,99.14,0.0,20.0,100.0
33,Artie Huber,3,272.35,0.0,94.16,0.0,0.0,0.0,0.0,81.72,0.0,81.47,0.0
34,Leif Hanson,5,268.2,24.0,98.68,20.0,0.0,0.0,20.0,90.52,0.0,0.0,0.0
