Overall Place,Team Name,Total Points,Battle Creek Fifty K Points,Seeley Hills Classic Points,Riverview Loppet Points,Noquemanon Points,Mt. Ashwabay Summit Ski Race Points,City of Lakes Loppet Points,Vasaloppet USA Points,Finlandia Points,Pepsi Challenge Points,Ski the North Points,Great Bear Chase Points
1,TCSC Icy Insurgents,3641.88,399.24,298.9,449.39,188.33,459.66,529.39,155.69,294.29,448.53,145.74,272.73
2,Vakava Juniorit,3375.37,290.18,298.03,160.68,346.35,418.88,550.29,490.57,194.29,409.52,0.0,216.59
3,Vakava Seniorit,2949.81,308.71,261.95,380.91,139.85,327.1,73.71,459.58,263.74,306.1,309.92,118.25
4,Yamageddon,1771.02,373.47,290.46,94.92,0.0,0.0,400.7,354.53,0.0,149.71,87.23,20.0
5,Flying Fungi of Yuggoth,1764.31,242.41,254.9,115.77,0.0,256.15,147.03,277.71,361.3,20.0,89.04,0.0
6,Ski EU Later,1596.2,317.71,240.74,77.88,86.79,34.78,322.96,305.64,0.0,209.71,0.0,0.0
7,Finnish Postal Service,1515.5,190.82,213.42,98.31,0.0,280.79,0.0,328.25,0.0,75.0,328.91,0.0
8,Hoigaards/Breadsmith A Team,1071.07,117.65,253.76,107.14,40.0,0.0,182.87,164.48,91.43,76.25,0.0,37.5
9,TCSC Frosty Fliers,755.36,125.0,0.0,222.03,20.0,0.0,275.15,0.0,0.0,0.0,0.0,113.18
10,Casual Elite,428.85,141.0,20.0,64.41,0.0,0.0,40.0,69.83,0.0,0.0,93.62,0.0
11,Des Moines Lake Nordic Ski Team,256.38,0.0,60.0,0.0,0.0,0.0,40.0,156.38,0.0,0.0,0.0,0.0
12,Hoigaards/Breadsmith B Team,180.89,0.0,0.0,0.0,0.0,51.43,64.71,0.0,0.0,0.0,64.75,0.0
13,Snowbra Kai Academy,153.0,113.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,20.0
